"Login Only Catalog","Login Only Catalog"
"Disable Extension","Erweiterung deaktivieren"
"Hide Category Navigation","Kategorie-Navigation verstecken"
"Message when a customer is redirected","Nachricht wenn ein Kunde weitergeleitet wird"
"Empty to disable","Leeren zum deaktivieren"
"Disable on routes","Für Routen deaktivieren"
"Add route/controller/action routes (one per line) where no redirect should happen.","Format: route/controller/action (eine pro Zeile)"
"Do redirect on Category Pages","Weiterleitung in Kategorien aktivieren"
"Redirect to login from any page","Weiterleitung von jeder Seite aktivieren"
"Redirect to","Weiterleiten zu"
"Login Page","Anmeldeseite"
"Target CMS Page","Ziel CMS-Seite"
"The module will be deactivated on the target page.","Dieses Modul wird auf der Zielseite deaktiviert."
